"No.","Time","Source","Destination","Protocol","Length","Info"
"56","1.878595","142.250.71.106","192.168.0.104","UDP","69","443  >  64082 Len=27"
"57","1.882155","192.168.0.104","142.250.71.106","UDP","75","64082  >  443 Len=33"
"58","1.883644","192.168.0.104","142.250.71.106","UDP","310","64082  >  443 Len=268"
"59","1.894845","142.250.71.106","192.168.0.104","UDP","71","443  >  64082 Len=29"
"60","1.899192","192.168.0.104","142.250.71.106","UDP","75","64082  >  443 Len=33"
"61","2.151147","142.250.71.106","192.168.0.104","UDP","145","443  >  64082 Len=103"
"62","2.155712","192.168.0.104","142.250.71.106","UDP","79","64082  >  443 Len=37"
"63","2.166562","142.250.71.106","192.168.0.104","UDP","67","443  >  64082 Len=25"
"64","5.447857","192.168.0.104","34.144.254.29","TCP","55","56200  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"65","5.456050","34.144.254.29","192.168.0.104","TCP","66","443  >  56200 [ACK] Seq=1 Ack=2 Win=1017 Len=0 SLE=1 SRE=2"
"66","7.025991","fe80::1e3b:f3ff:fe1d:8784","ff02::1","ICMPv6","78","Router Advertisement from 1c:3b:f3:1d:87:84"
"67","7.564603","192.168.0.104","52.168.117.169","TCP","55","56436  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"68","7.774498","52.168.117.169","192.168.0.104","TCP","66","443  >  56436 [ACK] Seq=1 Ack=2 Win=16385 Len=0 SLE=1 SRE=2"
"69","11.441942","142.250.71.106","192.168.0.104","UDP","80","443  >  64082 Len=38"
"70","11.445989","192.168.0.104","142.250.71.106","UDP","75","64082  >  443 Len=33"
"71","11.723140","192.168.0.104","192.168.0.1","DNS","79","Standard query 0xc510 A ib.adnxs-simple.com"
"72","11.725483","192.168.0.104","192.168.0.1","DNS","79","Standard query 0x7acd HTTPS ib.adnxs-simple.com"
"73","11.734125","192.168.0.1","192.168.0.104","DNS","361","Standard query response 0xc510 A ib.adnxs-simple.com CNAME xandr-adnxs-simple-ib.trafficmanager.net CNAME sin3-ib.sin1.geoadnxs.com A 103.43.91.249 A 103.43.89.4 A 103.43.91.51 A 103.43.91.210 A 103.43.90.53 A 103.43.90.21 A 103.43.90.178 A 103.43.90.179 A 103.43.90.54 A 103.43.90.117 A 103.43.91.58 A 103.43.91.17"
"74","11.750799","192.168.0.104","103.43.91.249","TCP","66","56562  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"75","11.970939","192.168.0.1","192.168.0.104","DNS","231","Standard query response 0x7acd HTTPS ib.adnxs-simple.com CNAME xandr-adnxs-simple-ib.trafficmanager.net CNAME sin3-ib.sin1.geoadnxs.com SOA ns1.gslb.com"
"76","11.971059","192.168.0.104","192.168.0.1","ICMP","259","Destination unreachable (Port unreachable)"
"77","11.983360","192.168.0.104","103.43.91.249","TCP","66","56563  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"78","11.995266","103.43.91.249","192.168.0.104","TCP","58","443  >  56562 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1440"
"79","11.996188","192.168.0.104","103.43.91.249","TCP","54","56562  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"80","11.997108","192.168.0.104","103.43.91.249","TCP","1494","56562  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=1440 [TCP PDU reassembled in 81]"
"81","11.997108","192.168.0.104","103.43.91.249","TLSv1.2","583","Client Hello (SNI=ib.adnxs-simple.com)"
"82","12.233630","103.43.91.249","192.168.0.104","TCP","58","443  >  56563 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1440"
"83","12.235427","192.168.0.104","103.43.91.249","TCP","54","56563  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"84","12.236686","192.168.0.104","103.43.91.249","TCP","1494","56563  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=1440 [TCP PDU reassembled in 85]"
"85","12.236686","192.168.0.104","103.43.91.249","TLSv1.2","551","Client Hello (SNI=ib.adnxs-simple.com)"
"86","12.241773","103.43.91.249","192.168.0.104","TCP","54","443  >  56562 [ACK] Seq=1 Ack=1441 Win=41760 Len=0"
"87","12.241773","103.43.91.249","192.168.0.104","TCP","54","443  >  56562 [ACK] Seq=1 Ack=1970 Win=41231 Len=0"
"88","12.242563","103.43.91.249","192.168.0.104","TLSv1.2","1494","Server Hello"
"89","12.242563","103.43.91.249","192.168.0.104","TLSv1.2","1299","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"90","12.243221","192.168.0.104","103.43.91.249","TCP","54","56562  >  443 [ACK] Seq=1970 Ack=2686 Win=65535 Len=0"
"91","12.243758","192.168.0.104","103.43.91.249","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"92","12.244105","192.168.0.104","103.43.91.249","TLSv1.2","153","Application Data"
"93","12.244510","192.168.0.104","103.43.91.249","TLSv1.2","561","Application Data"
"94","12.244758","192.168.0.104","103.43.91.249","TLSv1.2","1169","Application Data"
"95","12.486884","103.43.91.249","192.168.0.104","TCP","54","443  >  56563 [ACK] Seq=1 Ack=1441 Win=41760 Len=0"
"96","12.486884","103.43.91.249","192.168.0.104","TCP","54","443  >  56563 [ACK] Seq=1 Ack=1938 Win=41263 Len=0"
"97","12.488461","103.43.91.249","192.168.0.104","TLSv1.2","1494","Server Hello"
"98","12.488461","103.43.91.249","192.168.0.104","TLSv1.2","1301","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"99","12.488996","192.168.0.104","103.43.91.249","TCP","54","56563  >  443 [ACK] Seq=1938 Ack=2688 Win=65535 Len=0"
"100","12.489558","192.168.0.104","103.43.91.249","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"101","12.490893","103.43.91.249","192.168.0.104","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"102","12.490893","103.43.91.249","192.168.0.104","TLSv1.2","132","Application Data"
"103","12.490893","103.43.91.249","192.168.0.104","TLSv1.2","96","Application Data"
"104","12.491717","192.168.0.104","103.43.91.249","TCP","54","56562  >  443 [ACK] Seq=3784 Ack=3080 Win=65141 Len=0"
"105","12.491915","192.168.0.104","103.43.91.249","TLSv1.2","92","Application Data"
"106","12.532186","103.43.91.249","192.168.0.104","TCP","1494","443  >  56562 [ACK] Seq=3080 Ack=3784 Win=41231 Len=1440 [TCP PDU reassembled in 108]"
"107","12.532186","103.43.91.249","192.168.0.104","TCP","1494","443  >  56562 [PSH, ACK] Seq=4520 Ack=3784 Win=41231 Len=1440 [TCP PDU reassembled in 108]"
"108","12.532186","103.43.91.249","192.168.0.104","TLSv1.2","1137","Application Data"
"109","12.535881","192.168.0.104","103.43.91.249","TCP","54","56562  >  443 [ACK] Seq=3822 Ack=7043 Win=65535 Len=0"
"110","12.546644","192.168.0.104","192.168.0.1","DNS","84","Standard query 0xad10 A sin3-ib.adnxs-simple.com"
"111","12.552820","192.168.0.104","192.168.0.1","DNS","84","Standard query 0x2c9c HTTPS sin3-ib.adnxs-simple.com"
"112","12.557492","192.168.0.1","192.168.0.104","DNS","312","Standard query response 0xad10 A sin3-ib.adnxs-simple.com CNAME sin3-ib.sin1.geoadnxs.com A 103.43.90.117 A 103.43.90.19 A 103.43.90.178 A 103.43.90.54 A 103.43.90.53 A 103.43.91.249 A 103.43.90.21 A 103.43.91.8 A 103.43.89.4 A 103.43.90.179 A 103.43.91.51 A 103.43.91.58"
"113","12.571641","192.168.0.104","103.43.91.249","TCP","1494","56562  >  443 [ACK] Seq=3822 Ack=7043 Win=65535 Len=1440 [TCP PDU reassembled in 114]"
"114","12.571641","192.168.0.104","103.43.91.249","TLSv1.2","326","Application Data"
"115","12.741040","103.43.91.249","192.168.0.104","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"116","12.741040","103.43.91.249","192.168.0.104","TLSv1.2","123","Application Data"
"117","12.742593","192.168.0.104","103.43.91.249","TCP","54","56563  >  443 [ACK] Seq=2031 Ack=3031 Win=65192 Len=0"
"118","12.776626","103.43.91.249","192.168.0.104","TCP","54","443  >  56562 [ACK] Seq=7043 Ack=3822 Win=41231 Len=0"
"119","12.798454","192.168.0.1","192.168.0.104","DNS","185","Standard query response 0x2c9c HTTPS sin3-ib.adnxs-simple.com CNAME sin3-ib.sin1.geoadnxs.com SOA ns1.gslb.com"
"120","12.798740","192.168.0.104","192.168.0.1","ICMP","213","Destination unreachable (Port unreachable)"
"121","12.816380","103.43.91.249","192.168.0.104","TCP","54","443  >  56562 [ACK] Seq=7043 Ack=5534 Win=39519 Len=0"
"122","12.841378","103.43.91.249","192.168.0.104","TLSv1.2","620","Application Data"
"123","12.897916","192.168.0.104","103.43.91.249","TCP","54","56562  >  443 [ACK] Seq=5534 Ack=7609 Win=64969 Len=0"
"124","15.147591","fe80::1e3b:f3ff:fe1d:8784","ff02::1","ICMPv6","78","Router Advertisement from 1c:3b:f3:1d:87:84"
"125","15.348854","192.168.0.104","142.250.70.106","UDP","71","58183  >  443 Len=29"
"126","15.361259","142.250.70.106","192.168.0.104","UDP","67","443  >  58183 Len=25"
"127","15.364659","192.168.0.104","74.125.200.188","TCP","55","55533  >  5228 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"128","15.432115","74.125.200.188","192.168.0.104","TCP","66","5228  >  55533 [ACK] Seq=1 Ack=2 Win=1053 Len=0 SLE=1 SRE=2"
"129","15.741127","192.168.0.104","104.21.64.1","QUIC","1292","Initial, DCID=84360eb6136d65eb, PKN: 1, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING"
"130","15.741224","192.168.0.104","104.21.64.1","QUIC","1292","Initial, DCID=84360eb6136d65eb, PKN: 2, PADDING, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING"
"131","15.743926","192.168.0.104","104.21.48.1","QUIC","1292","Initial, DCID=7f65e1ad2b526245, PKN: 1, PADDING, PING, PING, PING, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING"
"132","15.744108","192.168.0.104","104.21.48.1","QUIC","1292","Initial, DCID=7f65e1ad2b526245, PKN: 2, PADDING, PING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING"
"133","15.813368","104.21.64.1","192.168.0.104","QUIC","1242","Initial, SCID=01f583db967d0b95f4f766dba37d8ab07ae0906f, PKN: 0, ACK, CRYPTO"
"134","15.813368","104.21.64.1","192.168.0.104","QUIC","1242","Handshake, SCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"135","15.813368","104.21.64.1","192.168.0.104","QUIC","1242","Handshake, SCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"136","15.813368","104.21.64.1","192.168.0.104","QUIC","609","Handshake, SCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"137","15.815014","192.168.0.104","104.21.64.1","QUIC","93","Handshake, DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"138","15.815933","104.21.48.1","192.168.0.104","QUIC","1242","Initial, SCID=01371cdc995baf94b734dddc825b193c17619359, PKN: 0, ACK, CRYPTO"
"139","15.815933","104.21.48.1","192.168.0.104","QUIC","1242","Handshake, SCID=01371cdc995baf94b734dddc825b193c17619359"
"140","15.815933","104.21.48.1","192.168.0.104","QUIC","1242","Handshake, SCID=01371cdc995baf94b734dddc825b193c17619359"
"141","15.815933","104.21.48.1","192.168.0.104","QUIC","534","Handshake, SCID=01371cdc995baf94b734dddc825b193c17619359"
"142","15.817760","192.168.0.104","104.21.64.1","QUIC","133","Handshake, DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"143","15.818040","192.168.0.104","104.21.64.1","QUIC","126","Protected Payload (KP0), DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"144","15.818449","192.168.0.104","104.21.64.1","QUIC","471","Protected Payload (KP0), DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"145","15.819007","192.168.0.104","104.21.48.1","QUIC","93","Handshake, DCID=01371cdc995baf94b734dddc825b193c17619359"
"146","15.821331","192.168.0.104","104.21.48.1","QUIC","133","Handshake, DCID=01371cdc995baf94b734dddc825b193c17619359"
"147","15.821653","192.168.0.104","104.21.48.1","QUIC","125","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"148","15.822062","192.168.0.104","104.21.48.1","QUIC","411","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"149","15.888992","104.21.64.1","192.168.0.104","QUIC","461","Protected Payload (KP0)"
"150","15.888992","104.21.64.1","192.168.0.104","QUIC","89","Protected Payload (KP0)"
"151","15.888992","104.21.64.1","192.168.0.104","QUIC","66","Protected Payload (KP0)"
"152","15.888992","104.21.64.1","192.168.0.104","QUIC","66","Protected Payload (KP0)"
"153","15.888992","104.21.64.1","192.168.0.104","QUIC","96","Protected Payload (KP0)"
"154","15.888992","104.21.64.1","192.168.0.104","QUIC","65","Protected Payload (KP0)"
"155","15.890335","192.168.0.104","104.21.64.1","QUIC","85","Protected Payload (KP0), DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"156","15.890490","192.168.0.104","104.21.64.1","QUIC","85","Protected Payload (KP0), DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"157","15.890648","192.168.0.104","104.21.64.1","QUIC","89","Protected Payload (KP0), DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"158","15.891908","104.21.48.1","192.168.0.104","QUIC","461","Protected Payload (KP0)"
"159","15.891908","104.21.48.1","192.168.0.104","QUIC","94","Protected Payload (KP0)"
"160","15.891908","104.21.48.1","192.168.0.104","QUIC","66","Protected Payload (KP0)"
"161","15.891908","104.21.48.1","192.168.0.104","QUIC","66","Protected Payload (KP0)"
"162","15.891908","104.21.48.1","192.168.0.104","QUIC","96","Protected Payload (KP0)"
"163","15.894267","192.168.0.104","104.21.48.1","QUIC","85","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"164","15.894595","192.168.0.104","104.21.48.1","QUIC","85","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"165","15.894975","192.168.0.104","104.21.48.1","QUIC","89","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"166","15.961751","104.21.64.1","192.168.0.104","QUIC","70","Protected Payload (KP0)"
"167","15.965138","104.21.48.1","192.168.0.104","QUIC","70","Protected Payload (KP0)"
"168","15.984504","192.168.0.1","239.255.255.250","SSDP","460","NOTIFY * HTTP/1.1 "
"169","15.988721","192.168.0.1","239.255.255.250","SSDP","469","NOTIFY * HTTP/1.1 "
"170","15.994081","192.168.0.1","239.255.255.250","SSDP","532","NOTIFY * HTTP/1.1 "
"171","15.998597","192.168.0.1","239.255.255.250","SSDP","524","NOTIFY * HTTP/1.1 "
"172","16.002992","192.168.0.104","104.21.64.1","QUIC","86","Protected Payload (KP0), DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"173","16.002997","192.168.0.1","239.255.255.250","SSDP","469","NOTIFY * HTTP/1.1 "
"174","16.004573","192.168.0.104","104.21.48.1","QUIC","86","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"175","16.007851","192.168.0.1","239.255.255.250","SSDP","508","NOTIFY * HTTP/1.1 "
"176","16.013030","192.168.0.1","239.255.255.250","SSDP","540","NOTIFY * HTTP/1.1 "
"177","16.017393","192.168.0.1","239.255.255.250","SSDP","469","NOTIFY * HTTP/1.1 "
"178","16.022229","192.168.0.1","239.255.255.250","SSDP","528","NOTIFY * HTTP/1.1 "
"179","16.027091","192.168.0.1","239.255.255.250","SSDP","522","NOTIFY * HTTP/1.1 "
"180","16.034773","192.168.0.104","142.250.192.106","UDP","71","60595  >  443 Len=29"
"181","16.044220","142.250.192.106","192.168.0.104","UDP","67","443  >  60595 Len=25"
"182","16.087312","192.168.0.1","239.255.255.250","SSDP","460","NOTIFY * HTTP/1.1 "
"183","16.091495","192.168.0.1","239.255.255.250","SSDP","469","NOTIFY * HTTP/1.1 "
"184","16.096507","192.168.0.1","239.255.255.250","SSDP","532","NOTIFY * HTTP/1.1 "
"185","16.101205","192.168.0.1","239.255.255.250","SSDP","524","NOTIFY * HTTP/1.1 "
"186","16.105641","192.168.0.1","239.255.255.250","SSDP","469","NOTIFY * HTTP/1.1 "
"187","16.110326","192.168.0.1","239.255.255.250","SSDP","508","NOTIFY * HTTP/1.1 "
"188","16.115172","192.168.0.1","239.255.255.250","SSDP","540","NOTIFY * HTTP/1.1 "
"189","16.119490","192.168.0.1","239.255.255.250","SSDP","469","NOTIFY * HTTP/1.1 "
"190","16.124356","192.168.0.1","239.255.255.250","SSDP","528","NOTIFY * HTTP/1.1 "
"191","16.129193","192.168.0.1","239.255.255.250","SSDP","522","NOTIFY * HTTP/1.1 "
"192","16.131026","104.21.64.1","192.168.0.104","QUIC","837","Protected Payload (KP0)"
"193","16.157993","192.168.0.104","104.21.64.1","QUIC","86","Protected Payload (KP0), DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"194","16.161117","104.21.48.1","192.168.0.104","QUIC","1242","Protected Payload (KP0)"
"195","16.162284","104.21.48.1","192.168.0.104","QUIC","1242","Protected Payload (KP0)"
"196","16.162284","104.21.48.1","192.168.0.104","QUIC","1242","Protected Payload (KP0)"
"197","16.162284","104.21.48.1","192.168.0.104","QUIC","1242","Protected Payload (KP0)"
"198","16.162284","104.21.48.1","192.168.0.104","QUIC","1242","Protected Payload (KP0)"
"199","16.162284","104.21.48.1","192.168.0.104","QUIC","851","Protected Payload (KP0)"
"200","16.163518","192.168.0.104","104.21.48.1","QUIC","85","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"201","16.163773","192.168.0.104","104.21.48.1","QUIC","85","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"202","16.163979","192.168.0.104","104.21.48.1","QUIC","85","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"203","16.164822","192.168.0.104","104.21.64.1","QUIC","471","Protected Payload (KP0), DCID=01f583db967d0b95f4f766dba37d8ab07ae0906f"
"204","16.174059","192.168.0.104","104.21.48.1","QUIC","83","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"205","16.236429","104.21.64.1","192.168.0.104","QUIC","65","Protected Payload (KP0)"
"206","16.246423","104.21.48.1","192.168.0.104","QUIC","65","Protected Payload (KP0)"
"207","16.382375","104.21.48.1","192.168.0.104","QUIC","1242","Protected Payload (KP0)"
"208","16.382375","104.21.48.1","192.168.0.104","QUIC","1242","Protected Payload (KP0)"
"209","16.382375","104.21.48.1","192.168.0.104","QUIC","1242","Protected Payload (KP0)"
"210","16.382375","104.21.48.1","192.168.0.104","QUIC","637","Protected Payload (KP0)"
"211","16.385372","192.168.0.104","104.21.48.1","QUIC","85","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"212","16.385892","192.168.0.104","104.21.48.1","QUIC","85","Protected Payload (KP0), DCID=01371cdc995baf94b734dddc825b193c17619359"
"213","16.408213","192.168.0.104","172.64.155.209","TLSv1.2","1454","Ignored Unknown Record"
"214","16.408213","192.168.0.104","172.64.155.209","TLSv1.2","1454","Ignored Unknown Record"
"215","16.408213","192.168.0.104","172.64.155.209","TLSv1.2","1454","Ignored Unknown Record"
"216","16.408213","192.168.0.104","172.64.155.209","TLSv1.2","1454","Ignored Unknown Record"
"217","16.408213","192.168.0.104","172.64.155.209","TLSv1.2","1167","Ignored Unknown Record"
"218","16.408553","192.168.0.104","172.64.155.209","TLSv1.2","93","Application Data"
"219","16.408768","192.168.0.104","172.64.155.209","TLSv1.2","311","Application Data"
"220","16.423822","172.64.155.209","192.168.0.104","TCP","54","443  >  56356 [ACK] Seq=1 Ack=1402 Win=111 Len=0"
"221","16.423822","172.64.155.209","192.168.0.104","TCP","54","443  >  56356 [ACK] Seq=1 Ack=2802 Win=112 Len=0"
"222","16.423822","172.64.155.209","192.168.0.104","TCP","54","443  >  56356 [ACK] Seq=1 Ack=4202 Win=112 Len=0"
"223","16.423822","172.64.155.209","192.168.0.104","TCP","54","443  >  56356 [ACK] Seq=1 Ack=5602 Win=112 Len=0"
"224","16.425777","172.64.155.209","192.168.0.104","TCP","54","443  >  56356 [ACK] Seq=1 Ack=6715 Win=113 Len=0"
"225","16.425777","172.64.155.209","192.168.0.104","TCP","54","443  >  56356 [ACK] Seq=1 Ack=6754 Win=113 Len=0"
"226","16.425777","172.64.155.209","192.168.0.104","TCP","54","443  >  56356 [ACK] Seq=1 Ack=7011 Win=113 Len=0"
"227","16.425777","172.64.155.209","192.168.0.104","TLSv1.2","93","Application Data"
